#Busqueda elem SI existe
tamano,lista,mapa,arbol
0, 47585, 3312, 6927
20000, 1217043, 26503, 58729
40000, 285513, 3313, 6927
60000, 3358089, 4818, 7228
80000, 2135323, 14757, 5723
100000, 714384, 10240, 6626
120000, 508682, 3313, 5421
140000, 1064650, 3614, 5722
160000, 804737, 3011, 5119
180000, 132215, 3313, 5120
200000, 1712776, 4217, 6927
220000, 2298559, 4819, 7228
240000, 3196057, 5422, 8734
260000, 1853424, 3915, 7831
280000, 3358390, 4217, 8433
300000, 780944, 3614, 5421
320000, 1169458, 3614, 6324
340000, 2414511, 5421, 17468
360000, 3448441, 4216, 7529
380000, 1604654, 3614, 6324
400000, 4633861, 4517, 7228
420000, 1457983, 3916, 7529
440000, 2637380, 5120, 9035
460000, 4106807, 4819, 9637
480000, 4736862, 3615, 7228
500000, 3044868, 4216, 6325
520000, 5683452, 5120, 7529
540000, 6620405, 21986, 6325
560000, 2123276, 4518, 7831
580000, 158117, 5422, 6023
600000, 2065752, 3915, 7530
620000, 658969, 3915, 8131
640000, 3166542, 4819, 7831
660000, 1400459, 4517, 5421
680000, 6951696, 4819, 7229
700000, 8533461, 4518, 7529
720000, 8451542, 5421, 7830
740000, 1353174, 3915, 6927
760000, 2048584, 3313, 6927
780000, 3355679, 4819, 6626
800000, 1023690, 4216, 5723
820000, 4901605, 4217, 7830
840000, 12321325, 4819, 7830
860000, 11262096, 4819, 8433
880000, 2124180, 4216, 6325
900000, 886355, 4819, 6324
920000, 5260303, 4819, 7830
940000, 5060022, 5120, 10240
960000, 4367021, 4518, 7529
980000, 7684452, 4518, 7228
