#Busqueda elem NO existe
tamano,lista,mapa,arbol
0, 62644, 3313, 1807
20000, 557774, 2108, 2410
40000, 358698, 3313, 4216
60000, 530668, 3012, 4517
80000, 331291, 2410, 4819
100000, 513803, 2711, 5120
120000, 845998, 3012, 5120
140000, 1111633, 3313, 5421
160000, 1589897, 4517, 6325
180000, 1750422, 4216, 6024
200000, 2046778, 4818, 20781
220000, 1377269, 4517, 7228
240000, 2852719, 5421, 7831
260000, 3310202, 5120, 7831
280000, 3315021, 6023, 7530
300000, 3363811, 4518, 8734
320000, 3103296, 3614, 7228
340000, 4013745, 4819, 8433
360000, 4422137, 5722, 7831
380000, 4597720, 6023, 8433
400000, 5050987, 4518, 8433
420000, 5205188, 4819, 8132
440000, 5684958, 4819, 7529
460000, 5848797, 3614, 6927
480000, 2926808, 5119, 7831
500000, 6420425, 5120, 6927
520000, 6652630, 5723, 8734
540000, 7995564, 4217, 7529
560000, 7321838, 6023, 9035
580000, 8246141, 4819, 16865
600000, 8281680, 4819, 7228
620000, 2519320, 4216, 8132
640000, 8878908, 4517, 8132
660000, 4431774, 5722, 8132
680000, 9264109, 5722, 8433
700000, 16080577, 4819, 7831
720000, 9921872, 4518, 7529
740000, 10524522, 13251, 8132
760000, 10681132, 4517, 7831
780000, 16641965, 4518, 8132
800000, 5244943, 4216, 8432
820000, 10025477, 5421, 8433
840000, 10358575, 3915, 8433
860000, 9479146, 4217, 8132
880000, 22214585, 5421, 10240
900000, 4693795, 5421, 9035
920000, 8429254, 6023, 7530
940000, 7073972, 5421, 8734
960000, 21132468, 6325, 8433
980000, 14411170, 5120, 7530
